ID, Version, Start Time, End Time, Jupiter RA, Jupiter DEC
236700150010, 001, 59353.2979545833, 59353.3318434928, 318.57664, -16.79693
236700160010, 001, 59353.3333712716, 59353.3672486069, 321.29681, -16.0151
236700170010, 001, 59353.3687763856, 59353.402653721, 324.00541, -15.19617
236700180010, 001, 59353.4041814997, 59353.4380588351, 326.7024, -14.34196
236700190010, 001, 59353.4393898544, 59353.4732787638, 329.38793, -13.45436
236700200010, 001, 59353.4747949684, 59353.5086723037, 332.0623, -12.53535
236700210010, 001, 59353.5102000824, 59353.5440889918, 334.7259, -11.58701
236700220010, 001, 59353.5454315852, 59353.5793089205, 337.37938, -10.61145
236700250010, 001, 59353.6512765565, 59353.6851538917, 340.02342, -9.61087
236800110010, 001, 59355.7780717983, 59355.8119491327, 342.65886, -8.58752
236800120010, 001, 59355.813280152, 59355.8471690604, 345.28668, -7.5437
236800130010, 001, 59355.848685265, 59355.8825741734, 347.90795, -6.48174
236800140010, 001, 59355.8839051927, 59355.917794101, 350.52376, -5.40406
236800160010, 001, 59355.9547269926, 59355.9886043269, 353.13536, -4.31306
236800170010, 001, 59355.9901321055, 59356.0240094398, 355.74401, -3.21123
236800180010, 001, 59356.025340459, 59356.0592177933, 358.35104, -2.10107
236800190010, 001, 59356.0607455719, 59356.0946229062, 0.95781, -0.98508
236800200010, 001, 59356.0961506849, 59356.1300280191, 3.56576, 0.1342
236800210010, 001, 59356.1315557978, 59356.1654447062, 6.17623, 1.25417
236900030010, 001, 59358.1841033336, 59358.19095519, 8.79067, 2.37228
236900040010, 001, 59358.1922977834, 59358.2269042874, 11.41047, 3.48593
236900050010, 001, 59358.2282468808, 59358.2621242174, 14.03697, 4.59251
236900060010, 001, 59358.2634668108, 59358.2973441472, 16.6715, 5.68941
236900070010, 001, 59358.298871926, 59358.3327492621, 19.31538, 6.77404
236900080010, 001, 59358.3340918556, 59358.3679691916, 21.96979, 7.84379
236900090010, 001, 59358.369311785, 59358.403200695, 24.63586, 8.89609
236900100010, 001, 59358.4045432884, 59358.4384206242, 27.31465, 9.92837
236900110010, 001, 59358.4397516435, 59358.4736405533, 30.00703, 10.93808
236900120010, 001, 59358.4749831467, 59358.5088604824, 32.71382, 11.92271
237200010010, 001, 59366.1309376368, 59366.1418056998, 35.4357, 12.8798
237200020010, 001, 59366.1431945896, 59366.1542941342, 38.17315, 13.80693
237300010010, 001, 59368.7924209254, 59368.8031385254, 40.92651, 14.70173
237300020010, 001, 59368.8044811189, 59368.8156269599, 43.69596, 15.56194
243800290010, 001, 59542.3208502116, 59542.3300747551, 46.48143, 16.38531
243800300010, 001, 59542.3314173486, 59542.3425631896, 49.28268, 17.16975
250600210010, 001, 59723.3542465478, 59723.3634479422, 52.0993, 17.91324
250600220010, 001, 59723.3648252578, 59723.3759248015, 54.9306, 18.61387
256500270010, 001, 59880.1939769882, 59880.203224679, 57.7757, 19.26986
256500280010, 001, 59880.2045556983, 59880.2165580203, 60.63355, 19.87959
263600270010, 001, 60069.0533142076, 60069.0625503273, 63.50281, 20.44157
263600280010, 001, 60069.0639276434, 60069.0750387649, 66.38197, 20.95445
265000840010, 001, 60108.0161877193, 60108.0230511518, 69.26935, 21.41709
265000850010, 001, 60108.0243821716, 60108.0485141392, 72.16309, 21.82851
265100000020, 001, 60108.2108406787, 60108.2840467611, 75.06114, 22.18791
270100010010, 001, 60241.3393277178, 60241.3485754086, 77.9614, 22.49468
270100020010, 001, 60241.3500105947, 60241.36190875, 80.86158, 22.74842
026601100010, 001, 53358.8256557167, 53358.8325191468, 83.75933, 22.94891
026601110010, 001, 53358.8338501662, 53358.8443131356, 86.6523, 23.09613
043200640010, 001, 53854.2155346549, 53854.2223865119, 89.53809, 23.19025
043200650010, 001, 53854.2237175314, 53854.2339721686, 92.41431, 23.23165
106300180010, 001, 55740.4450115495, 55740.4518749802, 95.27868, 23.22086
106300190010, 001, 55740.4532059996, 55740.4623610986, 98.12894, 23.15859
112600220010, 001, 55929.1421365069, 55929.1513726242, 100.96293, 23.04574
112600230010, 001, 55929.1527152177, 55929.1635948546, 103.77865, 22.88333
124200010010, 001, 56275.4612080873, 56275.4704789284, 106.57426, 22.67251
124200020010, 001, 56275.4718215222, 56275.4821456049, 109.34804, 22.4146
168600570010, 001, 57544.0516742304, 57544.0585376613, 112.09852, 22.11098
168600580010, 001, 57544.0595561806, 57544.072669616, 114.8244, 21.76315
169500010010, 001, 57565.7430534277, 57565.749916858, 117.52456, 21.37269
169500020010, 001, 57565.7512941736, 57565.7597432531, 120.19811, 20.94123
230200070010, 001, 59179.9573055435, 59179.9641689735, 122.84437, 20.47046
230200080010, 001, 59179.9654999928, 59180.0039259415, 125.46281, 19.96212
230200090010, 001, 59180.0052685349, 59180.0436944836, 128.05315, 19.41795
230200170010, 001, 59180.3247131693, 59180.3912178382, 130.61531, 18.83974
230200480010, 001, 59181.6865542519, 59181.7249917751, 133.14933, 18.22924
230200560010, 001, 59182.0058137023, 59182.0442512251, 135.65547, 17.58824
230200570010, 001, 59182.0455822444, 59182.0864503241, 138.13412, 16.91848
230200570020, 001, 59182.0864503241, 59182.1122026541, 140.5858, 16.22171
236600460010, 001, 59351.7209397228, 59351.7556619666, 143.01119, 15.49964
236600470010, 001, 59351.7556619666, 59351.7661365101, 145.41109, 14.75395
236600490010, 001, 59351.8265995105, 59351.8606620315, 147.78639, 13.98629
236600500010, 001, 59351.8622013843, 59351.896067146, 150.13808, 13.19828
236600510010, 001, 59351.8973981653, 59351.9312870751, 152.46725, 12.39148
236600520010, 001, 59351.9328148538, 59351.9666921895, 154.77504, 11.56744
236600530010, 001, 59351.9682199683, 59352.002097304, 157.06264, 10.72766
236600540010, 001, 59352.0036135086, 59352.0374792702, 159.33136, 9.87359
