ID, Version, Start Time, End Time, Jupiter RA, Jupiter DEC
027000020010, 001, 53368.1723855582, 53368.1955337199, 248.5337, -21.30557
027000110010, 001, 53368.3932653141, 53368.4164250493, 248.5337, -21.30557
027000420010, 001, 53369.1557888795, 53369.1789370402, 248.5337, -21.30557
027000500010, 001, 53369.3518653747, 53369.3750251094, 248.5337, -21.30557
027000510010, 001, 53369.3763908509, 53369.4008353086, 248.5337, -21.30557
027200420010, 001, 53375.1399819686, 53375.1631301299, 248.5337, -21.30557
027200500010, 001, 53375.3360816167, 53375.3592297779, 248.5337, -21.30557
027200510010, 001, 53375.3605955194, 53375.4013594314, 248.5337, -21.30557
027300010010, 001, 53377.1388836183, 53377.1467076975, 248.5337, -21.30557
027300020010, 001, 53377.1477377907, 53377.1708975278, 248.5337, -21.30557
027300110010, 001, 53377.3686407051, 53377.3918004412, 248.5337, -21.30557
027300420010, 001, 53378.1312684691, 53378.1544282049, 248.5337, -21.30557
027300500010, 001, 53378.3273681204, 53378.350516282, 248.5337, -21.30557
027300510010, 001, 53378.3518820236, 53378.3763380563, 248.5337, -21.30557
032000240010, 001, 53518.4268489707, 53518.4509693548, 248.5337, -21.30557
032000250010, 001, 53518.4523698185, 53518.4765017769, 248.5337, -21.30557
032000260010, 001, 53518.4779138147, 53518.5020226251, 248.5337, -21.30557
032000270010, 001, 53518.5035388297, 53518.5276592144, 248.5337, -21.30557
032000280010, 001, 53518.5290712523, 53518.5531916372, 248.5337, -21.30557
032000300010, 001, 53518.5802286907, 53518.604337502, 248.5337, -21.30557
032000310010, 001, 53518.6057263917, 53518.6298467772, 248.5337, -21.30557
032000320010, 001, 53518.6313398337, 53518.6554717935, 248.5337, -21.30557
032100240010, 001, 53521.3266193813, 53521.3507281933, 248.5337, -21.30557
032100250010, 001, 53521.3522328239, 53521.3763416359, 248.5337, -21.30557
032100260010, 001, 53521.3777189517, 53521.4018393378, 248.5337, -21.30557
032100270010, 001, 53521.4032166535, 53521.4273370397, 248.5337, -21.30557
032100280010, 001, 53521.4287143555, 53521.4528231677, 248.5337, -21.30557
032100290010, 001, 53521.4543509464, 53521.4784597587, 248.5337, -21.30557
032100300010, 001, 53521.4799991116, 53521.5040963498, 248.5337, -21.30557
032100310010, 001, 53521.5054968137, 53521.5296056261, 248.5337, -21.30557
032100320010, 001, 53521.5311102567, 53521.5552306433, 248.5337, -21.30557
032100330010, 001, 53521.5566195331, 53521.5807283456, 248.5337, -21.30557
032100340010, 001, 53521.5822214022, 53521.6063417889, 248.5337, -21.30557
032100480010, 001, 53521.9395364597, 53521.9636452722, 248.5337, -21.30557
032100490010, 001, 53521.9651383288, 53521.9892702895, 248.5337, -21.30557
032100500010, 001, 53521.9906476052, 53522.0147679918, 248.5337, -21.30557
032100510010, 001, 53522.0162841965, 53522.0404045831, 248.5337, -21.30557
032100520010, 001, 53522.0417934729, 53522.0672101568, 248.5337, -21.30557
032100530010, 001, 53522.0857171137, 53522.1098027782, 248.5337, -21.30557
032100540010, 001, 53522.1111800939, 53522.1353004807, 248.5337, -21.30557
032100550010, 001, 53522.1368166854, 53522.1609139241, 248.5337, -21.30557
032100560010, 001, 53522.1624069806, 53522.1865505156, 248.5337, -21.30557
033400710010, 001, 53561.7827659833, 53561.8075345154, 248.5337, -21.30557
033400720010, 001, 53561.8075345154, 53561.8193516515, 248.5337, -21.30557
033400730010, 001, 53561.8337035113, 53561.857985932, 248.5337, -21.30557
033400740010, 001, 53561.8593169513, 53561.8834257608, 248.5337, -21.30557
033400750010, 001, 53561.8849419653, 53561.9090507749, 248.5337, -21.30557
033400760010, 001, 53561.9103933682, 53561.9345021778, 248.5337, -21.30557
033400770010, 001, 53561.9360183823, 53561.960138766, 248.5337, -21.30557
033400780010, 001, 53561.9614813593, 53561.9855785948, 248.5337, -21.30557
033400790010, 001, 53561.9870947993, 53562.0112036089, 248.5337, -21.30557
039700010010, 001, 53748.0064886342, 53748.0133520639, 264.46461, -22.99097
039700020010, 001, 53748.0146830832, 53748.0551113462, 264.46461, -22.99097
039700030010, 001, 53748.0565465322, 53748.0962340541, 264.46461, -22.99097
039700040010, 001, 53748.0975766475, 53748.1372757434, 264.46461, -22.99097
039700050010, 001, 53748.1386067627, 53748.1782942846, 264.46461, -22.99097
039700060010, 001, 53748.1797410447, 53748.2194401407, 264.46461, -22.99097
039700070010, 001, 53748.2208869008, 53748.2605744228, 264.46461, -22.99097
039700080010, 001, 53748.2620096088, 53748.3017087048, 264.46461, -22.99097
039700090010, 001, 53748.3030512982, 53748.3427388202, 264.46461, -22.99097
039700100010, 001, 53748.3441855803, 53748.3838731023, 264.46461, -22.99097
039700110010, 001, 53748.3853082883, 53748.4250073845, 264.46461, -22.99097
039700120010, 001, 53748.4264541445, 53748.4661416666, 264.46461, -22.99097
039700130010, 001, 53748.4675884267, 53748.5072759488, 264.46461, -22.99097
039700140010, 001, 53748.5087111348, 53748.548398657, 264.46461, -22.99097
039700150010, 001, 53748.5497412504, 53748.5894287726, 264.46461, -22.99097
039700160010, 001, 53748.5908755327, 53748.6305746291, 264.46461, -22.99097
039700170010, 001, 53748.6320213892, 53748.6717089116, 264.46461, -22.99097
039700180010, 001, 53748.6731440976, 53748.7128431941, 264.46461, -22.99097
039700190010, 001, 53748.7142899541, 53748.7539774766, 264.46461, -22.99097
039700200010, 001, 53748.7554126626, 53748.7951117592, 264.46461, -22.99097
039700210010, 001, 53748.7964427785, 53748.8361418752, 264.46461, -22.99097
039700220010, 001, 53748.8375886353, 53748.8772761579, 264.46461, -22.99097
039700230010, 001, 53748.8786071772, 53748.9182947, 264.46461, -22.99097
039700240010, 001, 53748.9197414601, 53748.9594289829, 264.46461, -22.99097
039700250010, 001, 53748.9607715763, 53749.0004706733, 264.46461, -22.99097
039700260010, 001, 53749.0019174334, 53749.0416049565, 264.46461, -22.99097
039700270010, 001, 53749.0426466237, 53749.0823341468, 264.46461, -22.99097
039700280010, 001, 53749.0837809069, 53749.1234684301, 264.46461, -22.99097
039700290010, 001, 53749.1248110235, 53749.1644985466, 264.46461, -22.99097
039700300010, 001, 53749.1659337327, 53749.20563283, 264.46461, -22.99097
039700310010, 001, 53749.207068016, 53749.2467671134, 264.46461, -22.99097
039700320010, 001, 53749.2482022994, 53749.2878898227, 264.46461, -22.99097
039700330010, 001, 53749.2892324161, 53749.3289199395, 264.46461, -22.99097
039700340010, 001, 53749.3303666996, 53749.3876815483, 264.46461, -22.99097
039700350010, 001, 53749.3890241417, 53749.4287116651, 264.46461, -22.99097
039700360010, 001, 53749.4301468511, 53749.4698459487, 264.46461, -22.99097
039700370010, 001, 53749.4712927088, 53749.5109802322, 264.46461, -22.99097
039700380010, 001, 53749.5123228256, 53749.552010349, 264.46461, -22.99097
039700390010, 001, 53749.5533413683, 53749.5930404657, 264.46461, -22.99097
039700400010, 001, 53749.5944756517, 53749.6341747491, 264.46461, -22.99097
039700410010, 001, 53749.6355057684, 53749.6751932916, 264.46461, -22.99097
039700420010, 001, 53749.676535885, 53749.716327575, 264.46461, -22.99097
039700430010, 001, 53749.7176701684, 53749.7573576916, 264.46461, -22.99097
039700440010, 001, 53749.7588160258, 53749.798515123, 264.46461, -22.99097
039700450010, 001, 53749.7998461423, 53749.8395336654, 264.46461, -22.99097
039700460010, 001, 53749.8409804255, 53749.8806679486, 264.46461, -22.99097
039700470010, 001, 53749.8821031346, 53749.9218022316, 264.46461, -22.99097
039700480010, 001, 53749.9232374177, 53749.9629365146, 264.46461, -22.99097
039700490010, 001, 53749.9642675339, 53750.0039666308, 264.46461, -22.99097
039700500010, 001, 53750.0052976501, 53750.0449851729, 264.46461, -22.99097
039700510010, 001, 53750.046431933, 53750.0861194557, 264.46461, -22.99097
039700520010, 001, 53750.0872074193, 53750.1281102205, 264.46461, -22.99097
039700520020, 001, 53750.1281102205, 53750.1533532904, 264.46461, -22.99097
039800180010, 001, 53751.3981919859, 53751.4057151384, 264.46461, -22.99097
039800190010, 001, 53751.4067452316, 53751.446791551, 264.46461, -22.99097
039800200010, 001, 53751.4481225703, 53751.4878216672, 264.46461, -22.99097
039800210010, 001, 53751.4891526865, 53751.5288517833, 264.46461, -22.99097
039800220010, 001, 53751.5302869693, 53751.5699744921, 264.46461, -22.99097
039800230010, 001, 53751.5714096781, 53751.6111087748, 264.46461, -22.99097
039800240010, 001, 53751.6125439608, 53751.6522430576, 264.46461, -22.99097
039800250010, 001, 53751.6535856509, 53751.6932847477, 264.46461, -22.99097
039800260010, 001, 53751.6947315078, 53751.7344190306, 264.46461, -22.99097
039800270010, 001, 53751.7358542166, 53751.7755533134, 264.46461, -22.99097
039800280010, 001, 53751.7770000735, 53751.8166875963, 264.46461, -22.99097
039800290010, 001, 53751.8181343564, 53751.8578218793, 264.46461, -22.99097
039800300010, 001, 53751.8591528986, 53751.8988519957, 264.46461, -22.99097
039800310010, 001, 53751.9002871817, 53751.9399862789, 264.46461, -22.99097
039800320010, 001, 53751.9414214649, 53751.9811089881, 264.46461, -22.99097
039800330010, 001, 53751.9825441741, 53752.0222432714, 264.46461, -22.99097
039800340010, 001, 53752.0236784574, 53752.0633775548, 264.46461, -22.99097
039800350010, 001, 53752.0647201482, 53752.1044192456, 264.46461, -22.99097
039800360010, 001, 53752.1058660057, 53752.1455535291, 264.46461, -22.99097
039800370010, 001, 53752.1468961225, 53752.186583646, 264.46461, -22.99097
039800380010, 001, 53752.1880188321, 53752.2277179297, 264.46461, -22.99097
039800390010, 001, 53752.2291531158, 53752.2688522135, 264.46461, -22.99097
039800400010, 001, 53752.2702873996, 53752.3099864975, 264.46461, -22.99097
039800410010, 001, 53752.3114216835, 53752.3693846815, 264.46461, -22.99097
039800440010, 001, 53752.4526833433, 53752.4923940157, 264.46461, -22.99097
039800450010, 001, 53752.4937366091, 53752.5334241334, 264.46461, -22.99097
