SCW, Obs Start Date, Obs End Date, Count Rate, Variance, Angular offset, Annular Count Rate, Annular Variance, PSF Count Rate, PSF Count Rate Error, PSF Count Rate Fixed, PSF Count Rate Error Fixed
126800730010.001,2013-03-04T02:22:39,2013-03-04T02:55:16,176.04253,2.1307526,3.228816783805628,-159.59378,0.052965403,181.31676550041976,7.5811999030706705,148.598573093707,4.477331385602093
127800130010.001,2013-04-01T09:24:27,2013-04-01T09:57:41,172.57048,1.9787529,4.936835464998931,-154.22568,-0.0069338083,180.06555524574378,7.055710513016521,162.6769861658389,4.536940705007687
132700490010.001,2013-08-26T19:33:22,2013-08-26T20:04:47,183.72314,3.5760994,4.726071326745439,-166.77975,-0.5919149,202.7700734616012,7.375365896787304,114.83836001845526,3.3003809253242453
134200070010.001,2013-10-09T16:17:28,2013-10-09T16:50:19,186.71698,2.5070343,2.0544517389652803,-168.95293,0.08775401,195.04716923079084,9.00354245551185,148.4344689888099,5.003806888786126
138700630010.001,2014-02-22T19:26:00,2014-02-22T19:49:20,184.68318,5.68461,3.026548290287932,-168.00641,0.12716055,200.23667214492605,10.350419005982388,78.77126727221793,3.672949557866617
144700680010.001,2014-08-21T22:58:07,2014-08-21T23:24:44,165.56427,4.535172,3.600092943746813,-148.73994,-0.32196712,201.2838422342284,9.511094544726738,94.61314673146441,3.7619773704911186
145600300010.001,2014-09-16T16:17:31,2014-09-16T16:47:26,196.76685,5.507296,3.0336953809046423,-176.40842,-0.60150194,207.56127458607395,9.781679693938626,90.65650643211058,3.6649743273750706
146800160010.001,2014-10-21T18:26:53,2014-10-21T18:56:33,174.52466,4.0890384,3.01192311458915,-158.64221,-0.020328522,185.21158519413694,9.914312057287798,93.41089849378227,4.109247235930569
150800130010.001,2015-02-15T18:47:22,2015-02-15T19:17:11,173.38135,3.965274,2.1302816520278527,-156.34853,-0.25313544,183.96067542632426,9.013743258617287,100.8852577680922,3.9292968738879344
152400120010.001,2015-03-30T06:53:32,2015-03-30T07:20:36,176.79926,7.0730634,4.865513120867215,-159.49667,0.026224136,178.3310482077637,9.077754218012773,65.61606948235749,3.0849812324194454
152800070010.001,2015-04-09T22:47:58,2015-04-09T23:17:45,190.76659,4.080476,4.855832416269738,-173.60402,0.28146505,195.33225678291205,8.037291855158141,102.87653389541559,3.4321268414314354
157700120010.001,2015-08-18T05:03:27,2015-08-18T05:33:12,197.80598,8.922033,2.986569073960886,-178.9521,-0.9917078,211.11429529723588,12.478866727176152,57.91050502910017,3.5545342778269933
158900130010.001,2015-09-19T04:36:06,2015-09-19T05:06:06,177.23772,3.5250578,1.8647928267665,-160.43425,0.32322764,185.92080354225195,10.674493824489407,114.21435264488744,5.057304579908109
159800320010.001,2015-10-13T22:19:32,2015-10-13T22:49:09,148.35228,1.7306732,0.007648404291101078,-134.21721,0.1815331,154.69658509951182,12.029484129129603,144.7636402479319,8.00182665737671
164400170010.001,2016-02-12T12:05:52,2016-02-12T12:35:37,154.91443,3.3344579,2.1820002958606435,-140.70773,0.46850657,167.14551111501032,12.647924332542837,102.14567373844403,5.985692625090884
165800100010.001,2016-03-20T14:51:14,2016-03-20T15:21:13,266.83264,7.3488483,5.366723290703246,-242.74007,0.34744024,295.8382841093233,12.659561991787768,92.47715133832668,3.958388640667464
166700490010.001,2016-04-14T19:10:30,2016-04-14T19:35:32,200.21947,2.7901852,0.010462613363475717,-180.46498,0.21110106,207.82606543676914,15.082128104376173,149.33684832923015,8.015871561347018
171500110010.001,2016-08-19T04:14:42,2016-08-19T04:44:31,150.05669,3.5616803,4.986926741856784,-133.89171,0.32598782,169.1734243788399,11.842547664765284,101.33732811755151,5.505501580180034
172800770010.001,2016-09-24T09:00:01,2016-09-24T09:30:01,170.84885,6.4833446,4.92929661218587,-153.49196,-0.2999878,174.29459558231426,10.622587729650935,67.07512045374615,3.654944001026275
173600130010.001,2016-10-14T02:56:33,2016-10-14T03:26:22,152.63518,3.9310236,5.628523112055992,-138.61948,-0.031755447,168.14734840364588,10.72585963694858,90.6662961200705,4.682167812033852
178100150010.001,2017-02-10T19:25:08,2017-02-10T19:54:52,144.4626,5.966796,2.1653771069375085,-130.03508,-0.6223707,157.9358971102185,11.472597786429144,61.6412427386554,4.011399013421788
178900660010.001,2017-03-05T09:26:59,2017-03-05T09:56:57,237.76553,8.96202,5.468674514016735,-212.59451,-0.10700607,251.11086875735572,23.109126311100823,72.03471614832536,6.6090664528569425
180100070010.001,2017-04-04T21:00:10,2017-04-04T21:30:02,268.18677,16.837425,4.156654054920281,-244.5969,-6.75749,285.4867020967016,16.166856425131293,43.25718550718712,3.2472357558417495
185000120010.001,2017-08-13T03:04:16,2017-08-13T03:34:03,204.58961,8.424394,3.0069473226857713,-184.22058,0.15664291,217.81781581898085,15.426298525298817,63.87768353693758,4.509496056229324
186600190010.001,2017-09-25T03:02:49,2017-09-25T03:59:28,151.79202,6.514962,6.665473432121372,-139.16983,-0.39803362,160.67467438740903,9.890575677559294,55.59273159239176,3.267866109144818
187700070010.001,2017-10-23T22:25:02,2017-10-23T22:54:45,134.44193,4.875651,4.008723770037087,-121.3354,0.07921982,149.81728915592117,14.285445506851657,67.32500359128221,5.540783029255924
192100070010.001,2018-02-17T23:11:52,2018-02-17T23:41:40,185.77399,15.223375,5.472073231271237,-167.38994,-0.18524551,198.37376562793497,17.68757222876204,35.4128703240875,3.7152779639685125
193000230010.001,2018-03-14T10:06:19,2018-03-14T10:36:19,176.54501,7.4342957,5.47989962501127,-161.61215,-0.84382915,198.57180805240205,12.259667191349171,57.56517760749026,3.6593672335514995
194300270010.001,2018-04-18T04:20:22,2018-04-18T04:50:08,187.10999,5.9100623,3.60246399348827,-170.51671,0.52189684,197.95207538482754,13.26703894805455,74.4141222362472,4.533512601260674
