SCW, Start Time, End Time
023900990010.001, 53277.9444634475, 53277.9652967927
023901000010.001, 53277.9666393861, 53277.9874843054
024200100010.001, 53284.5767008883, 53284.6021638654
024200110010.001, 53284.6045944223, 53284.6496175955
030000040010.001, 53458.5003192246, 53458.5211525694
030000050010.001, 53458.5224951628, 53458.5433285075
030000060010.001, 53458.5447752676, 53458.5656086124
030000070010.001, 53458.5670437984, 53458.5879002913
030000080010.001, 53458.5893470514, 53458.6101688221
030000090010.001, 53458.6114998413, 53458.6323447602
030000100010.001, 53458.6336873535, 53458.6545206983
030000110010.001, 53458.6559674583, 53458.6768008031
030000120010.001, 53458.6782475632, 53458.699080908
030000130010.001, 53458.7005160939, 53458.7213725869
030000140010.001, 53458.7228077729, 53458.7436411177
030000150010.001, 53458.7449721369, 53458.7658170558
030000160010.001, 53458.7671480751, 53458.7879929939
030000170010.001, 53458.7894281799, 53458.8102730988
030000180010.001, 53458.811604118, 53458.8324374628
030000190010.001, 53458.8338842229, 53458.8547291417
030000200010.001, 53458.856071735, 53458.8769166539
030000210010.001, 53458.8782476732, 53458.8990810179
030000220010.001, 53458.9004236113, 53458.921256956
030000230010.001, 53458.9225995494, 53458.9434328941
030000240010.001, 53458.9448796542, 53458.965712999
030000250010.001, 53458.9670440183, 53458.9878889372
030000260010.001, 53458.9892199564, 53459.0100764494
030000270010.001, 53459.0114074686, 53459.0322408134
030000280010.001, 53459.0336875735, 53459.0545209183
030100140010.001, 53461.2533994628, 53461.2785383664
030100150010.001, 53461.2815360533, 53461.3066518087
030800040010.001, 53481.8392345105, 53481.8649289708
035200040010.001, 53613.4625303742, 53613.5038729895
035200050010.001, 53613.5052155828, 53613.5465581982
035200060010.001, 53613.5480165323, 53613.5893707217
035200070010.001, 53613.5907133151, 53613.6320675044
035200080010.001, 53613.6334100978, 53613.6747527131
035200090010.001, 53613.6762110472, 53613.7175652366
035200100010.001, 53613.7188962559, 53613.7602504452
035200110010.001, 53613.7615814645, 53613.8029356538
035200120010.001, 53613.8042666731, 53613.8456208624
035200130010.001, 53613.8470791966, 53613.8884333859
035200140010.001, 53613.8897644052, 53613.9311070204
035200150010.001, 53613.9324496137, 53613.973792229
035200160010.001, 53613.9752505631, 53614.0166047525
035200170010.001, 53614.0179473458, 53614.0593015351
035200180010.001, 53614.0606441285, 53614.1019867438
035200190010.001, 53614.1033293371, 53614.1446719524
035200200010.001, 53614.1461302865, 53614.1874844759
035200210010.001, 53614.1888154951, 53614.2301696845
035200220010.001, 53614.2315007038, 53614.2728548931
035200230010.001, 53614.2743132273, 53614.3156674166
035200240010.001, 53614.3169984359, 53614.3583526253
035200250010.001, 53614.3596836445, 53614.4010262598
035200260010.001, 53614.4023688532, 53614.4437230426
035200270010.001, 53614.4451813767, 53614.4865355661
035200280010.001, 53614.4878781594, 53614.5292207748
035200290010.001, 53614.5305633681, 53614.5719059834
035200300010.001, 53614.5733643175, 53614.614718507
035200310010.001, 53614.6160495262, 53614.6574037157
035200320010.001, 53614.6587347349, 53614.7000889243
035200330010.001, 53614.7014199436, 53614.7427625589
035200340010.001, 53614.7442208931, 53614.7855866566
035200350010.001, 53614.7869176758, 53614.8295565882
035200360010.001, 53614.847230209, 53614.8885728244
035200370010.001, 53614.8900311585, 53614.931385348
035200380010.001, 53614.9327163673, 53614.9740705567
035200390010.001, 53614.975401576, 53615.0167557654
035200400010.001, 53615.0180867847, 53615.0594409742
035200410010.001, 53615.0608993083, 53615.1022534978
035200420010.001, 53615.103584517, 53615.1449387065
035200430010.001, 53615.1462697258, 53615.1876123412
035200440010.001, 53615.1890706753, 53615.2304248648
035200450010.001, 53615.2317674581, 53615.2731216476
035200460010.001, 53615.2744642409, 53615.3158184304
035200470010.001, 53615.3171610237, 53615.3584920651
035200480010.001, 53615.3599503992, 53615.4013045887
035200490010.001, 53615.4026356079, 53615.4439897974
035200500010.001, 53615.4453208167, 53615.4866750062
